ClassID,Packet,Delay (ms)
3,108,8.562
1,111,15.497
2,109,13.280000000000001
3,109,8.33
2,110,13.274000000000001
1,112,15.383000000000001
3,110,8.517
1,113,15.383000000000001
3,111,9.059000000000001
2,111,13.242
1,114,15.423
3,112,7.375
2,112,13.742
2,113,14.938
3,113,9.395
1,115,14.308
1,116,15.194
2,114,13.206
3,114,8.612
2,115,13.131
1,117,15.162
3,115,6.981
1,118,15.162
3,116,8.219
2,116,13.054
1,119,12.33
3,117,7.539000000000001
2,117,12.85
2,118,13.925
1,120,14.445
3,118,9.029
2,119,12.112
3,119,9.431000000000001
1,121,15.462
2,120,13.345
1,122,15.462
3,120,8.569
2,121,13.345
1,123,15.727
3,121,9.447000000000001
2,122,14.123000000000001
1,124,14.795
3,122,9.447000000000001
2,123,14.374
1,125,14.381
3,123,8.867
1,126,15.138
3,124,9.44
2,124,14.639000000000001
1,127,15.197000000000001
3,125,10.919
2,125,14.875
1,128,16.883
3,126,11.848
2,126,15.57
1,129,17.286
3,127,11.148
2,127,16.341
1,130,17.493000000000002
3,128,0.06
2,128,15.557
1,131,17.493000000000002
2,129,15.575000000000001
3,129,0.359
1,132,17.803
2,130,15.813
3,130,0.061
1,133,17.917
3,131,0.751
2,131,16.349
1,134,18.345
3,132,1.067
2,132,17.740000000000002
1,135,19.171
2,133,17.941
3,133,1.173
2,134,18.061
1,136,19.682000000000002
3,134,1.3940000000000001
2,135,18.061
1,137,20.189
3,135,1.861
1,138,20.441
3,136,2.703
2,136,18.095
1,139,20.562
3,137,3.982
2,137,18.092
2,138,19.025000000000002
1,140,21.548000000000002
3,138,4.095
3,139,3.48
1,141,22.693
2,139,19.402
3,140,3.962
1,142,21.267
2,140,20.175
3,141,4.146
1,143,22.131
2,141,20.908
3,142,4.408
1,144,22.231
2,142,20.869
3,143,4.081
1,145,22.143
2,143,21.078
3,144,4.081
1,146,21.614
2,144,20.449
3,145,4.402
1,147,22.458000000000002
2,145,20.758
3,146,4.882
1,148,22.707
2,146,20.936
3,147,4.83
1,149,23.255
2,147,20.974
3,148,5.18
1,150,23.493000000000002
2,148,21.851
1,151,22.703
3,149,4.932
2,149,21.39
1,152,22.418
3,150,5.151
2,150,21.102
1,153,23.481
3,151,4.815
2,151,21.774
3,152,5.025
1,154,23.548000000000002
2,152,21.553
1,155,23.548000000000002
3,153,5.027
2,153,21.683
3,154,5.588
1,156,22.993000000000002
2,154,21.702
3,155,6.261
1,157,24.109
2,155,21.919
1,158,24.109
3,156,6.643
2,156,22.141000000000002
1,159,24.2
3,157,6.877
2,157,21.830000000000002
2,158,22.644000000000002
3,158,6.605
1,160,24.866
2,159,23.188
1,161,24.866
3,159,5.6530000000000005
2,160,23.188
1,162,24.817
3,160,7.047
1,163,24.481
2,161,23.038
3,161,5.699
1,164,25.7
2,162,23.038
3,162,6.232
1,165,25.269000000000002
2,163,22.061
3,163,6.843
1,166,27.393
3,164,8.988
2,164,24.25
1,167,25.498
3,165,7.549
2,165,24.25
1,168,25.643
3,166,6.804
2,166,24.973
3,167,8.514
1,169,26.587
2,167,25.065
1,170,27.267
2,168,25.330000000000002
3,168,8.456
2,169,25.28
1,171,27.635
3,169,9.546
2,170,24.198
1,172,27.036
3,170,8.674
1,173,26.984
2,171,26.021
3,171,8.674
1,174,26.984
2,172,25.922
3,172,8.835
1,175,27.482
2,173,25.937
3,173,8.869
1,176,27.335
2,174,26.553
3,174,10.817
2,175,26.553
1,177,28.029
3,175,10.484
2,176,27.705000000000002
3,176,10.873000000000001
1,178,28.291
2,177,27.241
1,179,28.079
3,177,0.023
1,180,29.437
2,178,28.02
3,178,0.095
3,179,0.17300000000000001
2,179,28.328
1,181,30.03
3,180,0.853
1,182,30.03
2,180,28.395
3,181,1.438
1,183,30.21
2,181,29.954
3,182,1.957
1,184,30.519000000000002
2,182,29.954
1,185,30.144000000000002
2,183,30.438000000000002
3,183,2.2600000000000002
1,186,31.28
2,184,29.698
3,184,2.641
1,187,30.682000000000002
2,185,29.324
3,185,2.653
2,186,29.169
1,188,29.301000000000002
3,186,2.867
2,187,29.949
1,189,30.691
3,187,3.585
3,188,3.585
2,188,30.36
1,190,31.459
2,189,31.0
1,191,31.459
3,189,3.72
1,192,32.703
2,190,30.869
3,190,4.346
1,193,32.492
2,191,32.106
3,191,4.509
1,194,33.205
2,192,31.741
3,192,4.509
2,193,31.741
