I,L,Q
2,103,76565.0
3,105,90512.0
1,107,98858.0
2,104,79357.0
3,106,92050.0
1,108,100513.0
3,107,94561.0
2,105,82624.0
1,109,101445.0
3,108,93873.0
2,106,83879.0
3,109,96279.0
2,107,84716.0
1,110,104576.0
3,110,97769.0
2,108,84716.0
1,111,106294.0
3,111,100513.0
2,109,86587.0
1,112,106294.0
3,112,100566.0
2,110,87404.0
1,113,108582.0
2,111,90002.0
3,113,102266.0
1,114,110073.0
2,112,91175.0
3,114,103450.0
1,115,110681.0
2,113,85143.0
3,115,103450.0
1,116,112058.0
2,114,85143.0
3,116,105733.0
1,117,114063.0
2,115,85845.0
3,117,103101.0
1,118,112411.0
2,116,85924.0
3,118,102543.0
1,119,112684.0
2,117,89776.0
3,119,102609.0
1,120,106933.0
3,120,105865.0
2,118,92287.0
1,121,106933.0
2,119,92774.0
3,121,107907.0
1,122,111563.0
2,120,94306.0
3,122,107901.0
1,123,113232.0
2,121,96705.0
3,123,107901.0
1,124,114027.0
2,122,96705.0
3,124,108883.0
1,125,115085.0
2,123,98720.0
3,125,110584.0
1,126,116666.0
2,124,101081.0
3,126,113556.0
1,127,118925.0
2,125,101902.0
3,127,114847.0
1,128,119660.0
2,126,104010.0
3,128,116208.0
1,129,119660.0
2,127,105347.0
3,129,119172.0
1,130,120419.0
2,128,107155.0
3,130,119172.0
1,131,122326.0
2,129,107155.0
3,131,120144.0
1,132,124534.0
2,130,108873.0
3,132,121621.0
1,133,125574.0
2,131,110223.0
3,133,123185.0
1,134,127798.0
3,134,124828.0
2,132,112161.0
1,135,129157.0
3,135,125920.0
2,133,114362.0
1,136,131874.0
2,134,114504.0
3,136,128133.0
1,137,133385.0
2,135,116532.0
3,137,129243.0
1,138,133385.0
2,136,118295.0
3,138,130686.0
1,139,133945.0
2,137,120649.0
3,139,130686.0
1,140,136609.0
2,138,120649.0
3,140,132447.0
1,141,136650.0
2,139,122347.0
3,141,135365.0
1,142,137828.0
2,140,123807.0
3,142,135688.0
1,143,140347.0
2,141,125279.0
3,143,138138.0
1,144,141168.0
2,142,127565.0
3,144,140124.0
1,145,141168.0
2,143,128804.0
3,145,140929.0
1,146,141228.0
2,144,129292.0
3,146,142018.0
1,147,145917.0
2,145,129870.0
3,147,142018.0
1,148,144965.0
2,146,129870.0
3,148,143004.0
1,149,145846.0
2,147,132027.0
3,149,144927.0
1,150,146749.0
2,148,133909.0
3,150,146224.0
1,151,149751.0
3,151,147737.0
2,149,135612.0
1,152,149751.0
2,150,136710.0
3,152,149796.0
1,153,150214.0
2,151,138969.0
3,153,150638.0
1,154,152139.0
2,152,138950.0
3,154,150638.0
1,155,153797.0
2,153,140942.0
3,155,153165.0
1,156,155631.0
2,154,140942.0
3,156,153165.0
1,157,157885.0
2,155,143325.0
3,157,155136.0
1,158,159964.0
2,156,145986.0
3,158,157117.0
1,159,161458.0
2,157,146617.0
1,160,163381.0
3,159,161922.0
2,158,148114.0
1,161,165544.0
3,160,162140.0
2,159,149614.0
1,162,167054.0
3,161,162140.0
2,160,151275.0
1,163,167054.0
3,162,163768.0
2,161,152402.0
1,164,168889.0
3,163,175800.0
1,165,173469.0
2,162,155082.0
2,163,155082.0
1,166,173469.0
2,164,155082.0
3,164,168897.0
1,167,173569.0
2,165,157138.0
3,165,170190.0
1,168,175856.0
2,166,160179.0
3,166,171677.0
1,169,177284.0
2,167,161494.0
3,167,173626.0
1,170,175979.0
2,168,160712.0
3,168,175376.0
1,171,175866.0
2,169,163394.0
3,169,175376.0
1,172,179060.0
2,170,163394.0
3,170,174022.0
1,173,179060.0
2,171,166132.0
3,171,177397.0
3,172,176935.0
1,174,180597.0
2,172,168583.0
2,173,169677.0
3,173,178307.0
1,175,182479.0
1,176,185259.0
2,174,167123.0
3,174,171649.0
2,175,166875.0
3,175,170414.0
1,177,181724.0
2,176,172894.0
3,176,175136.0
