I,L,Q
2,517,791805.0
3,519,425048.0
1,521,854231.0
2,518,791805.0
3,520,425048.0
1,522,854231.0
2,519,791805.0
3,521,425048.0
1,523,854231.0
3,522,425048.0
1,524,854231.0
2,520,791805.0
3,523,425048.0
1,525,854231.0
2,521,791805.0
1,526,854231.0
3,524,425048.0
2,522,791805.0
2,523,791805.0
3,525,425048.0
1,527,854231.0
1,528,854231.0
3,526,425048.0
2,524,791805.0
2,525,791805.0
3,527,425048.0
1,529,854231.0
3,528,425048.0
2,526,791805.0
1,530,854231.0
3,529,425048.0
2,527,791805.0
1,531,854231.0
3,530,425048.0
2,528,791805.0
1,532,854231.0
3,531,425048.0
2,529,791805.0
1,533,854231.0
3,532,425048.0
2,530,791805.0
1,534,854231.0
2,531,791805.0
3,533,425048.0
1,535,854231.0
2,532,791805.0
3,534,425048.0
1,536,854231.0
3,535,425048.0
2,533,791805.0
1,537,854231.0
3,536,425048.0
2,534,791805.0
1,538,854231.0
3,537,425048.0
2,535,791805.0
1,539,854231.0
3,538,121406.0
2,536,688842.0
1,540,854231.0
3,539,121406.0
2,537,688842.0
1,541,854231.0
3,540,121406.0
2,538,688842.0
1,542,854231.0
2,539,688842.0
3,541,121406.0
1,543,854231.0
1,544,854231.0
3,542,121406.0
2,540,688842.0
1,545,854231.0
3,543,121406.0
2,541,688842.0
1,546,854231.0
3,544,121406.0
2,542,688842.0
3,545,121406.0
1,547,854231.0
2,543,688842.0
3,546,121406.0
1,548,854231.0
2,544,688842.0
3,547,121406.0
1,549,854231.0
2,545,688842.0
1,550,854231.0
2,546,688842.0
3,548,121406.0
3,549,121406.0
2,547,688842.0
1,551,854231.0
1,552,854231.0
2,548,688842.0
3,550,121406.0
2,549,688842.0
3,551,121406.0
1,553,854231.0
3,552,121406.0
2,550,688842.0
1,554,854231.0
2,551,688842.0
3,553,121406.0
1,555,854231.0
3,554,121406.0
2,552,688842.0
1,556,854231.0
3,555,121406.0
1,557,854231.0
2,553,688842.0
3,556,121406.0
1,558,854231.0
2,554,688842.0
2,555,688842.0
3,557,121406.0
1,559,854231.0
2,556,688842.0
3,558,121406.0
1,560,854231.0
3,559,121406.0
2,557,688842.0
1,561,854231.0
3,560,121406.0
2,558,688842.0
1,562,854231.0
3,561,121406.0
2,559,688842.0
1,563,854231.0
2,560,688842.0
3,562,22030.0
1,564,854231.0
3,563,940.0
2,561,751212.0
1,565,854231.0
3,564,940.0
2,562,610305.0
1,566,854231.0
3,565,940.0
1,567,854231.0
2,563,610305.0
3,566,940.0
1,568,854231.0
2,564,610305.0
3,567,940.0
1,569,854231.0
2,565,610305.0
3,568,940.0
1,570,854231.0
2,566,610305.0
3,569,940.0
1,571,854231.0
2,567,610305.0
3,570,940.0
2,568,610305.0
1,572,854231.0
3,571,940.0
1,573,854231.0
2,569,610305.0
1,574,854231.0
3,572,940.0
2,570,610305.0
1,575,854231.0
3,573,940.0
2,571,610305.0
3,574,940.0
1,576,854231.0
2,572,610305.0
3,575,940.0
1,577,854231.0
2,573,610305.0
3,576,940.0
1,578,854231.0
2,574,610305.0
1,579,854231.0
3,577,940.0
2,575,610305.0
1,580,854231.0
3,578,940.0
2,576,610305.0
1,581,854231.0
3,579,940.0
2,577,610305.0
1,582,854231.0
3,580,940.0
2,578,610305.0
3,581,940.0
1,583,854231.0
2,579,610305.0
3,582,940.0
1,584,854231.0
2,580,610305.0
2,581,610305.0
3,583,940.0
1,585,854231.0
2,582,610305.0
3,584,940.0
1,586,854231.0
1,587,854231.0
2,583,610305.0
3,585,940.0
3,586,298018.0
1,588,854231.0
2,584,610305.0
1,589,854231.0
3,587,14508.0
2,585,128800.0
1,590,854231.0
3,588,14508.0
2,586,128800.0
1,591,854231.0
3,589,14508.0
2,587,128800.0
1,592,854231.0
3,590,14508.0
2,588,128800.0
1,593,854231.0
3,591,14508.0
2,589,128800.0
1,594,854231.0
3,592,14508.0
2,590,128800.0
1,595,854231.0
3,593,14508.0
2,591,128800.0
1,596,854231.0
3,594,14508.0
2,592,128800.0
3,595,14508.0
1,597,854231.0
2,593,128800.0
1,598,854231.0
3,596,14508.0
2,594,128800.0
1,599,854231.0
2,595,128800.0
3,597,14508.0
1,600,854231.0
2,596,128800.0
3,598,14508.0
1,601,854231.0
2,597,128800.0
3,599,14508.0
1,602,854231.0
2,598,128800.0
3,600,14508.0
1,603,854231.0
2,599,128800.0
3,601,14508.0
2,600,128800.0
1,604,854231.0
3,602,14508.0
2,601,128800.0
3,603,14508.0
1,605,854231.0
1,606,854231.0
2,602,128800.0
3,604,14508.0
1,607,854231.0
2,603,128800.0
3,605,14508.0
1,608,854231.0
3,606,14508.0
2,604,128800.0
3,607,14508.0
1,609,854231.0
2,605,128800.0
1,610,854231.0
2,606,128800.0
3,608,14508.0
1,611,854231.0
2,607,128800.0
3,609,14508.0
1,612,854231.0
3,610,14508.0
2,608,128800.0
1,613,854231.0
2,609,128800.0
3,611,14508.0
1,614,854231.0
2,610,128800.0
3,612,14508.0
1,615,854231.0
2,611,128800.0
3,613,14508.0
2,612,128800.0
1,616,854231.0
3,614,14508.0
1,617,854231.0
2,613,128800.0
3,615,14508.0
2,614,128800.0
1,618,854231.0
3,616,14508.0
2,615,128800.0
1,619,854231.0
3,617,14508.0
2,616,128800.0
3,618,363395.0
1,620,854231.0
2,617,69619.0
3,619,37887.0
1,621,854231.0
2,618,69619.0
3,620,37887.0
1,622,854231.0
2,619,69619.0
1,623,854231.0
3,621,37887.0
2,620,69619.0
1,624,854231.0
3,622,37887.0
1,625,854231.0
2,621,69619.0
3,623,37887.0
2,622,69619.0
1,626,854231.0
3,624,37887.0
2,623,69619.0
1,627,854231.0
3,625,37887.0
2,624,69619.0
1,628,854231.0
3,626,37887.0
2,625,69619.0
1,629,854231.0
3,627,37887.0
2,626,69619.0
3,628,37887.0
1,630,854231.0
2,627,69619.0
1,631,854231.0
3,629,37887.0
2,628,69619.0
1,632,854231.0
3,630,37887.0
2,629,69619.0
1,633,854231.0
3,631,37887.0
2,630,69619.0
1,634,854231.0
3,632,37887.0
2,631,69619.0
1,635,854231.0
3,633,37887.0
2,632,69619.0
1,636,854231.0
3,634,37887.0
2,633,69619.0
1,637,854231.0
3,635,37887.0
1,638,854231.0
2,634,69619.0
3,636,37887.0
1,639,854231.0
2,635,69619.0
3,637,37887.0
1,640,854231.0
2,636,69619.0
3,638,37887.0
1,641,854231.0
3,639,37887.0
2,637,69619.0
1,642,854231.0
3,640,37887.0
2,638,69619.0
1,643,854231.0
2,639,69619.0
3,641,37887.0
1,644,854231.0
2,640,69619.0
3,642,37887.0
1,645,854231.0
3,643,37887.0
2,641,69619.0
1,646,854231.0
2,642,69619.0
3,644,37887.0
1,647,854231.0
2,643,69619.0
3,645,37887.0
2,644,69619.0
3,646,37887.0
1,648,854231.0
2,645,69619.0
3,647,37887.0
1,649,854231.0
2,646,80049.0
3,648,68183.0
1,650,3080021.0
2,647,80049.0
3,649,68183.0
1,651,3080021.0
2,648,80049.0
3,650,68183.0
1,652,3080021.0
2,649,80049.0
3,651,68183.0
1,653,3080021.0
2,650,80049.0
3,652,68183.0
1,654,3080021.0
2,651,80049.0
3,653,68183.0
1,655,3080021.0
2,652,80049.0
3,654,68183.0
1,656,3080021.0
3,655,68183.0
2,653,80049.0
1,657,3080021.0
2,654,80049.0
3,656,68183.0
1,658,3080021.0
2,655,80049.0
3,657,68183.0
1,659,3080021.0
2,656,179438.0
3,658,90837.0
1,660,3080021.0
2,657,137198.0
3,659,78499.0
1,661,3080021.0
3,660,78499.0
2,658,137198.0
1,662,3080021.0
3,661,78499.0
2,659,137198.0
1,663,3080021.0
3,662,78499.0
1,664,3080021.0
2,660,137198.0
2,661,137198.0
3,663,78499.0
1,665,3080021.0
2,662,137198.0
3,664,78499.0
1,666,3080021.0
2,663,137198.0
3,665,78499.0
1,667,3080021.0
2,664,137198.0
3,666,78499.0
1,668,3080021.0
2,665,137198.0
3,667,78499.0
1,669,3080021.0
2,666,137198.0
3,668,78499.0
1,670,3080021.0
2,667,137198.0
3,669,78499.0
1,671,3080021.0
3,670,78499.0
2,668,137198.0
1,672,3080021.0
3,671,78499.0
2,669,137198.0
1,673,3080021.0
3,672,78499.0
2,670,137198.0
1,674,3080021.0
3,673,78499.0
2,671,137198.0
1,675,3080021.0
3,674,78499.0
2,672,137198.0
1,676,3080021.0
3,675,78499.0
2,673,137198.0
1,677,3080021.0
2,674,137198.0
3,676,78499.0
1,678,3080021.0
2,675,137198.0
3,677,78499.0
1,679,3080021.0
2,676,137198.0
3,678,78499.0
1,680,3080021.0
2,677,137198.0
3,679,78499.0
1,681,3080021.0
2,678,137198.0
3,680,78499.0
1,682,3080021.0
2,679,137198.0
3,681,78499.0
1,683,3080021.0
2,680,137198.0
3,682,78499.0
1,684,3080021.0
2,681,137198.0
3,683,78499.0
1,685,3080021.0
2,682,137198.0
3,684,78499.0
1,686,3080021.0
2,683,137198.0
3,685,78499.0
1,687,3080021.0
2,684,137198.0
3,686,78499.0
1,688,3080021.0
2,685,137198.0
3,687,78499.0
1,689,3080021.0
2,686,137198.0
3,688,78499.0
1,690,3080021.0
2,687,137198.0
3,689,78499.0
2,688,137198.0
1,691,3080021.0
3,690,127379.0
2,689,422176.0
3,691,116332.0
1,692,3441131.0
2,690,122061.0
1,693,3208438.0
3,692,116332.0
2,691,122061.0
1,694,3208438.0
3,693,116332.0
2,692,122061.0
1,695,3208438.0
3,694,116332.0
2,693,122061.0
1,696,3208438.0
3,695,116332.0
2,694,122061.0
3,696,116332.0
1,697,3208438.0
2,695,122061.0
3,697,116332.0
1,698,3208438.0
2,696,122061.0
1,699,3208438.0
3,698,116332.0
2,697,122061.0
1,700,3208438.0
3,699,116332.0
2,698,122061.0
1,701,3208438.0
3,700,116332.0
2,699,122061.0
1,702,3208438.0
3,701,116332.0
2,700,122061.0
1,703,3208438.0
3,702,116332.0
2,701,122061.0
1,704,3208438.0
3,703,116332.0
2,702,122061.0
1,705,3208438.0
3,704,116332.0
2,703,122061.0
1,706,3208438.0
3,705,116332.0
2,704,122061.0
1,707,3208438.0
2,705,122061.0
3,706,116332.0
1,708,3208438.0
2,706,122061.0
3,707,116332.0
2,707,122061.0
1,709,3208438.0
3,708,116332.0
1,710,3208438.0
2,708,122061.0
3,709,116332.0
2,709,122061.0
1,711,3208438.0
3,710,116332.0
1,712,3208438.0
2,710,122061.0
3,711,116332.0
1,713,3208438.0
2,711,122061.0
3,712,116332.0
1,714,3208438.0
2,712,122061.0
3,713,116332.0
1,715,3208438.0
2,713,122061.0
3,714,116332.0
1,716,3208438.0
2,714,122061.0
3,715,116332.0
1,717,3208438.0
2,715,122061.0
3,716,116332.0
1,718,3215439.0
2,716,158675.0
3,717,136773.0
1,719,3215439.0
2,717,158675.0
3,718,136773.0
2,718,158675.0
1,720,3215439.0
3,719,136773.0
1,721,3215439.0
2,719,158675.0
3,720,136773.0
2,720,158675.0
1,722,3215439.0
3,721,136773.0
2,721,158675.0
1,723,3215439.0
3,722,136773.0
1,724,3215439.0
2,722,158675.0
3,723,136773.0
1,725,3215439.0
2,723,158675.0
3,724,136773.0
1,726,3215439.0
2,724,158675.0
3,725,136773.0
1,727,3215439.0
2,725,158675.0
3,726,136773.0
1,728,3215439.0
2,726,158675.0
3,727,136773.0
2,727,158675.0
1,729,3215439.0
3,728,136773.0
2,728,158675.0
1,730,3215439.0
3,729,136773.0
2,729,158675.0
1,731,3215439.0
3,730,136773.0
1,732,3215439.0
2,730,158675.0
3,731,136773.0
1,733,3215439.0
2,731,158675.0
3,732,136773.0
1,734,3215439.0
2,732,158675.0
3,733,136773.0
2,733,158675.0
1,735,3215439.0
3,734,136773.0
1,736,3215439.0
2,734,158675.0
3,735,136773.0
2,735,158675.0
1,737,3215439.0
3,736,136773.0
1,738,3215439.0
2,736,158675.0
3,737,136773.0
1,739,3215439.0
2,737,158675.0
3,738,136773.0
2,738,158675.0
1,740,3215439.0
3,739,136773.0
2,739,158675.0
1,741,3215439.0
3,740,136773.0
2,740,158675.0
1,742,3215439.0
3,741,136773.0
2,741,158675.0
1,743,3215439.0
3,742,170900.0
1,744,939885.0
2,742,183435.0
3,743,170900.0
1,745,939885.0
2,743,183435.0
3,744,170900.0
1,746,939885.0
2,744,183435.0
3,745,170900.0
1,747,939885.0
2,745,183435.0
3,746,170900.0
1,748,939885.0
2,746,183435.0
3,747,170900.0
1,749,939885.0
2,747,183435.0
3,748,170900.0
1,750,939885.0
2,748,183435.0
3,749,170900.0
1,751,939885.0
3,750,170900.0
2,749,183435.0
1,752,939885.0
3,751,170900.0
2,750,183435.0
1,753,939885.0
3,752,170900.0
2,751,183435.0
1,754,939885.0
3,753,170900.0
2,752,183435.0
1,755,939885.0
2,753,183435.0
3,754,170900.0
1,756,939885.0
2,754,183435.0
3,755,170900.0
1,757,939885.0
2,755,183435.0
3,756,170900.0
1,758,939885.0
2,756,183435.0
3,757,170900.0
1,759,939885.0
2,757,183435.0
3,758,170900.0
1,760,939885.0
2,758,183435.0
3,759,170900.0
1,761,939885.0
2,759,183435.0
3,760,170900.0
1,762,939885.0
2,760,183435.0
3,761,170900.0
1,763,939885.0
2,761,183435.0
3,762,170900.0
1,764,939885.0
2,762,183435.0
3,763,170900.0
1,765,939885.0
2,763,183435.0
3,764,170900.0
1,766,939885.0
2,764,183435.0
3,765,170900.0
1,767,939885.0
2,765,183435.0
3,766,170900.0
1,768,939885.0
2,766,183435.0
3,767,170900.0
1,769,939885.0
2,767,183435.0
3,768,170900.0
1,770,939885.0
2,768,183435.0
3,769,170900.0
1,771,939885.0
3,770,170900.0
2,769,183435.0
1,772,939885.0
2,770,183435.0
3,771,170900.0
1,773,939885.0
3,772,170900.0
2,771,183435.0
1,774,939885.0
2,772,198589.0
3,773,184393.0
1,775,1206663.0
2,773,198589.0
3,774,184393.0
1,776,1206663.0
3,775,184393.0
2,774,198589.0
1,777,1206663.0
2,775,198589.0
3,776,184393.0
1,778,1206663.0
2,776,198589.0
3,777,184393.0
1,779,1206663.0
2,777,198589.0
3,778,184393.0
1,780,1206663.0
2,778,198589.0
3,779,184393.0
2,779,198589.0
3,780,184393.0
1,781,1206663.0
2,780,198589.0
3,781,184393.0
1,782,1206663.0
2,781,198589.0
3,782,184393.0
1,783,1206663.0
2,782,198589.0
3,783,184393.0
1,784,1206663.0
2,783,198589.0
3,784,184393.0
1,785,1206663.0
2,784,198589.0
3,785,184393.0
1,786,1206663.0
2,785,198589.0
3,786,184393.0
1,787,1206663.0
2,786,198589.0
3,787,184393.0
1,788,1206663.0
2,787,198589.0
3,788,184393.0
1,789,1206663.0
2,788,198589.0
3,789,184393.0
1,790,1206663.0
2,789,198589.0
3,790,184393.0
1,791,1206663.0
2,790,198589.0
3,791,184393.0
1,792,1206663.0
2,791,198589.0
3,792,184393.0
1,793,1206663.0
2,792,198589.0
3,793,184393.0
1,794,1206663.0
3,794,184393.0
2,793,198589.0
1,795,1206663.0
3,795,184393.0
2,794,198589.0
1,796,1206663.0
3,796,184393.0
2,795,198589.0
1,797,1206663.0
3,797,431971.0
2,796,198589.0
1,798,1206663.0
3,798,372262.0
2,797,198589.0
1,799,1206663.0
3,799,201782.0
2,798,220262.0
1,800,1118813.0
3,800,201782.0
2,799,220262.0
1,801,1118813.0
3,801,201782.0
2,800,220262.0
1,802,1118813.0
3,802,201782.0
2,801,220262.0
1,803,1118813.0
3,803,201782.0
2,802,220262.0
1,804,1118813.0
3,804,201782.0
2,803,220262.0
1,805,1118813.0
3,805,201782.0
2,804,220262.0
1,806,1118813.0
3,806,201782.0
1,807,1118813.0
2,805,220262.0
3,807,201782.0
2,806,220262.0
1,808,1118813.0
3,808,201782.0
2,807,220262.0
1,809,1118813.0
3,809,201782.0
2,808,220262.0
1,810,1118813.0
3,810,201782.0
2,809,220262.0
1,811,1118813.0
3,811,201782.0
2,810,220262.0
1,812,1118813.0
1,813,1118813.0
2,811,220262.0
3,812,201782.0
1,814,1118813.0
3,813,201782.0
2,812,220262.0
1,815,1118813.0
2,813,220262.0
3,814,201782.0
1,816,1118813.0
3,815,201782.0
2,814,220262.0
1,817,1118813.0
2,815,220262.0
3,816,201782.0
1,818,1118813.0
2,816,220262.0
3,817,201782.0
1,819,1118813.0
2,817,220262.0
3,818,201782.0
1,820,1118813.0
2,818,220262.0
3,819,201782.0
1,821,1118813.0
2,819,220262.0
3,820,201782.0
1,822,1118813.0
2,820,220262.0
3,821,201782.0
1,823,1118813.0
2,821,220262.0
3,822,201782.0
2,822,220262.0
1,824,1118813.0
3,823,201782.0
3,824,201782.0
2,823,220262.0
1,825,1118813.0
3,825,201782.0
2,824,220262.0
1,826,1118813.0
2,825,220262.0
3,826,201782.0
1,827,1118813.0
2,826,220262.0
1,828,1118813.0
3,827,201782.0
1,829,1242072.0
2,827,249303.0
3,828,236872.0
1,830,1242072.0
2,828,249303.0
3,829,236872.0
1,831,1242072.0
2,829,249303.0
3,830,236872.0
1,832,1242072.0
2,830,249303.0
3,831,236872.0
1,833,1242072.0
2,831,249303.0
3,832,236872.0
1,834,1242072.0
2,832,249303.0
3,833,236872.0
1,835,1242072.0
3,834,236872.0
2,833,249303.0
1,836,1242072.0
3,835,236872.0
2,834,249303.0
1,837,1242072.0
3,836,236872.0
2,835,249303.0
1,838,1242072.0
3,837,236872.0
2,836,249303.0
1,839,1242072.0
3,838,236872.0
2,837,249303.0
1,840,1242072.0
3,839,236872.0
2,838,249303.0
1,841,1242072.0
3,840,236872.0
2,839,249303.0
1,842,1242072.0
2,840,249303.0
3,841,236872.0
1,843,1242072.0
2,841,249303.0
3,842,236872.0
1,844,1242072.0
2,842,249303.0
3,843,236872.0
1,845,1242072.0
2,843,249303.0
3,844,236872.0
1,846,1242072.0
2,844,249303.0
3,845,236872.0
1,847,1242072.0
2,845,249303.0
3,846,236872.0
1,848,1242072.0
3,847,236872.0
2,846,249303.0
3,848,236872.0
1,849,1242072.0
2,847,249303.0
1,850,1242072.0
3,849,236872.0
2,848,249303.0
1,851,1242072.0
3,850,236872.0
2,849,249303.0
1,852,1242072.0
3,851,236872.0
2,850,249303.0
1,853,1242072.0
3,852,236872.0
2,851,249303.0
1,854,1242072.0
3,853,236872.0
2,852,249303.0
1,855,1242072.0
3,854,449276.0
2,853,249303.0
1,856,1183064.0
3,855,261322.0
2,854,286522.0
1,857,1183064.0
3,856,261322.0
2,855,286522.0
1,858,1183064.0
3,857,261322.0
2,856,286522.0
1,859,1183064.0
3,858,261322.0
2,857,286522.0
1,860,1183064.0
3,859,261322.0
2,858,286522.0
1,861,1183064.0
3,860,261322.0
2,859,286522.0
1,862,1183064.0
3,861,261322.0
2,860,286522.0
1,863,1183064.0
3,862,261322.0
2,861,286522.0
1,864,1183064.0
3,863,261322.0
2,862,286522.0
3,864,261322.0
2,863,286522.0
1,865,1183064.0
3,865,261322.0
2,864,286522.0
1,866,1183064.0
3,866,261322.0
2,865,286522.0
1,867,1183064.0
3,867,261322.0
1,868,1183064.0
2,866,286522.0
1,869,1183064.0
3,868,261322.0
2,867,286522.0
3,869,261322.0
1,870,1183064.0
2,868,286522.0
3,870,261322.0
1,871,1183064.0
2,869,286522.0
3,871,261322.0
1,872,1183064.0
2,870,286522.0
3,872,261322.0
1,873,1183064.0
2,871,286522.0
3,873,261322.0
2,872,286522.0
1,874,1183064.0
3,874,261322.0
2,873,286522.0
1,875,1183064.0
3,875,261322.0
1,876,1183064.0
2,874,286522.0
3,876,261322.0
1,877,1183064.0
2,875,286522.0
2,876,286522.0
3,877,261322.0
1,878,1183064.0
1,879,1183064.0
2,877,286522.0
3,878,261322.0
3,879,261322.0
1,880,1183064.0
2,878,286522.0
2,879,286522.0
3,880,261322.0
1,881,1183064.0
1,882,1183064.0
2,880,286522.0
3,881,261322.0
2,881,286522.0
3,882,261322.0
1,883,1183064.0
3,883,288071.0
1,884,1393743.0
2,882,301039.0
3,884,288071.0
1,885,1393743.0
2,883,301039.0
1,886,1393743.0
2,884,301039.0
3,885,288071.0
1,887,1393743.0
2,885,301039.0
3,886,288071.0
1,888,1393743.0
3,887,288071.0
2,886,301039.0
2,887,301039.0
1,889,1393743.0
3,888,288071.0
1,890,1393743.0
2,888,301039.0
3,889,288071.0
3,890,288071.0
1,891,1393743.0
2,889,301039.0
3,891,288071.0
1,892,1393743.0
2,890,301039.0
3,892,288071.0
2,891,301039.0
1,893,1393743.0
3,893,288071.0
2,892,301039.0
1,894,1393743.0
2,893,301039.0
3,894,288071.0
1,895,1393743.0
3,895,288071.0
2,894,301039.0
1,896,1393743.0
3,896,288071.0
1,897,1393743.0
2,895,301039.0
3,897,288071.0
1,898,1393743.0
2,896,301039.0
3,898,288071.0
2,897,301039.0
1,899,1393743.0
3,899,288071.0
2,898,301039.0
1,900,1393743.0
3,900,288071.0
1,901,1393743.0
2,899,301039.0
3,901,288071.0
1,902,1393743.0
2,900,301039.0
3,902,288071.0
2,901,301039.0
1,903,1393743.0
3,903,288071.0
1,904,1393743.0
2,902,301039.0
3,904,288071.0
2,903,301039.0
1,905,1393743.0
3,905,288071.0
1,906,1393743.0
2,904,301039.0
3,906,288071.0
2,905,301039.0
1,907,1393743.0
3,907,288071.0
1,908,1393743.0
2,906,301039.0
3,908,288071.0
1,909,1393743.0
2,907,301039.0
3,909,288071.0
1,910,1393743.0
2,908,301039.0
1,911,1393743.0
3,910,305432.0
2,909,466692.0
1,912,1393743.0
3,911,305432.0
2,910,324901.0
1,913,1303714.0
3,912,305432.0
2,911,324901.0
1,914,1303714.0
3,913,305432.0
2,912,324901.0
3,914,305432.0
1,915,1303714.0
2,913,324901.0
3,915,305432.0
1,916,1303714.0
2,914,324901.0
2,915,324901.0
1,917,1303714.0
3,916,305432.0
3,917,305432.0
2,916,324901.0
1,918,1303714.0
3,918,305432.0
2,917,324901.0
1,919,1303714.0
3,919,305432.0
2,918,324901.0
1,920,1303714.0
3,920,305432.0
2,919,324901.0
1,921,1303714.0
3,921,305432.0
2,920,324901.0
1,922,1303714.0
3,922,305432.0
2,921,324901.0
1,923,1303714.0
3,923,305432.0
1,924,1303714.0
2,922,324901.0
1,925,1303714.0
2,923,324901.0
3,924,305432.0
1,926,1303714.0
2,924,324901.0
3,925,305432.0
3,926,305432.0
1,927,1303714.0
2,925,324901.0
3,927,305432.0
2,926,324901.0
1,928,1303714.0
3,928,305432.0
1,929,1303714.0
2,927,324901.0
1,930,1303714.0
2,928,324901.0
3,929,305432.0
3,930,305432.0
1,931,1303714.0
2,929,324901.0
3,931,305432.0
2,930,324901.0
1,932,1303714.0
3,932,305432.0
2,931,324901.0
1,933,1303714.0
3,933,305432.0
2,932,324901.0
1,934,1303714.0
3,934,305432.0
1,935,1303714.0
2,933,324901.0
3,935,305432.0
1,936,1303714.0
2,934,324901.0
1,937,1303714.0
3,936,305432.0
2,935,324901.0
1,938,1303714.0
2,936,324901.0
3,937,305432.0
1,939,1596321.0
2,937,326749.0
3,938,308762.0
2,938,326749.0
3,939,308762.0
1,940,1266505.0
2,939,326749.0
3,940,308762.0
1,941,1266505.0
2,940,326749.0
1,942,1266505.0
3,941,308762.0
2,941,326749.0
1,943,1266505.0
3,942,308762.0
2,942,326749.0
1,944,1266505.0
3,943,308762.0
2,943,326749.0
3,944,308762.0
1,945,1266505.0
3,945,308762.0
2,944,326749.0
1,946,1266505.0
1,947,1266505.0
2,945,326749.0
3,946,308762.0
1,948,1266505.0
2,946,326749.0
3,947,308762.0
2,947,326749.0
1,949,1266505.0
3,948,308762.0
1,950,1266505.0
2,948,326749.0
3,949,308762.0
2,949,326749.0
1,951,1266505.0
3,950,308762.0
1,952,1266505.0
2,950,326749.0
3,951,308762.0
1,953,1266505.0
3,952,308762.0
2,951,326749.0
2,952,326749.0
1,954,1266505.0
3,953,308762.0
2,953,326749.0
1,955,1266505.0
3,954,308762.0
2,954,326749.0
1,956,1266505.0
3,955,308762.0
1,957,1266505.0
2,955,326749.0
3,956,308762.0
1,958,1266505.0
2,956,326749.0
3,957,308762.0
1,959,1266505.0
3,958,308762.0
2,957,326749.0
3,959,308762.0
1,960,1266505.0
2,958,326749.0
3,960,308762.0
1,961,1266505.0
2,959,326749.0
1,962,1266505.0
2,960,326749.0
3,961,308762.0
3,962,308762.0
1,963,1266505.0
2,961,326749.0
3,963,308762.0
1,964,1266505.0
2,962,326749.0
2,963,326749.0
3,964,308762.0
1,965,1266505.0
3,965,308762.0
1,966,1266505.0
2,964,326749.0
3,966,308762.0
1,967,1266505.0
2,965,326749.0
3,967,308762.0
2,966,326749.0
1,968,1266505.0
1,969,1266505.0
2,967,326749.0
3,968,372408.0
2,968,363184.0
3,969,350775.0
1,970,1440938.0
2,969,363184.0
3,970,350775.0
1,971,1440938.0
2,970,363184.0
3,971,350775.0
1,972,1440938.0
2,971,363184.0
3,972,350775.0
1,973,1440938.0
1,974,1440938.0
2,972,363184.0
3,973,350775.0
1,975,1440938.0
2,973,363184.0
3,974,350775.0
3,975,350775.0
2,974,363184.0
1,976,1440938.0
1,977,1440938.0
2,975,363184.0
3,976,350775.0
2,976,363184.0
3,977,350775.0
1,978,1440938.0
2,977,363184.0
3,978,350775.0
1,979,1440938.0
2,978,363184.0
1,980,1440938.0
3,979,350775.0
2,979,363184.0
3,980,350775.0
1,981,1440938.0
3,981,350775.0
2,980,363184.0
1,982,1440938.0
3,982,350775.0
1,983,1440938.0
2,981,363184.0
2,982,363184.0
3,983,350775.0
1,984,1440938.0
2,983,363184.0
3,984,350775.0
1,985,1440938.0
3,985,350775.0
2,984,363184.0
1,986,1440938.0
3,986,350775.0
2,985,363184.0
1,987,1440938.0
3,987,350775.0
2,986,363184.0
1,988,1440938.0
2,987,363184.0
3,988,350775.0
1,989,1440938.0
2,988,363184.0
3,989,350775.0
1,990,1440938.0
2,989,363184.0
3,990,350775.0
1,991,1440938.0
3,991,350775.0
2,990,363184.0
1,992,1440938.0
2,991,363184.0
3,992,350775.0
1,993,1440938.0
2,992,363184.0
3,993,350775.0
1,994,1440938.0
3,994,350775.0
2,993,363184.0
1,995,1440938.0
2,994,363184.0
3,995,350775.0
1,996,1440938.0
2,995,363184.0
3,996,350775.0
1,997,1440938.0
2,996,363184.0
3,997,584257.0
1,998,1440938.0
2,997,402707.0
3,998,390423.0
1,999,1503224.0
2,998,402707.0
3,999,390423.0
1,1000,1503224.0
2,999,402707.0
3,1000,390423.0
2,1000,402707.0
